Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Market Capitalisation (Rs. Cr.)
523151,Otco International Ltd,OTCO,OTCO INTERNATIONAL LTD.,Active,X,2.0,INE910B01028,Consulting Services,6.48
523160,Morganite Crucible (India) Limited,MORGANITE,MORGANITE CRUCIBLE (INDIA) LTD.,Active,X,5.0,INE599F01020,Electrodes & Refractories,763.5
523186,B&A Packaging India Limited,BAPACK,B&A Packaging India Limited,Active,XT,10.0,INE00FM01013,Packaging,41.85
523204,"Aban  Offshore Ltd.,",ABAN,ABAN OFFSHORE LTD.,Active,B,2.0,INE421A01028,Offshore Support Solution Drilling,253.54
523207,Kokuyo Camlin Ltd,KOKUYOCMLN,KOKUYO CAMLIN LTD.-$,Active,T,1.0,INE760A01029,Stationary,1460.42
523222,SRM Energy Limited,SRMENERGY,SRM ENERGY LTD.,Active,XT,10.0,INE173J01018,Power Generation,4.24
523229,Bharat Seats Ltd,BHARATSE,BHARAT SEATS LTD.-$,Active,XT,2.0,INE415D01024,Auto Components & Equipments,394.38
523232,"Continental Petroleums Ltd.,",CONTPTR,CONTINENTAL PETROLEUMS LTD.,Active,XT,5.0,INE369D01023,Refineries & Marketing,24.53
523242,"N.B. Footwear Ltd.,",NBFOOT,NB FOOTWEAR LTD.,Active,P,10.0,INE006F01018,Leather And Leather Products,3.98
523248,Machino Plastics Ltd,MACPLASQ,MACHINO PLASTICS LTD.-$,Active,XT,10.0,INE082B01018,Auto Components & Equipments,98.19
523260,Pearl Polymers Ltd.,PEARLPOLY,PEARL POLYMERS LTD.,Active,B,10.0,INE844A01013,Plastic Products - Consumer,41.75
523261,Venky's (India) ltd.,VENKYS,VENKY'S (INDIA) LTD.,Active,A,10.0,INE398A01010,Meat Products including Poultry,2683.29
523269,Advani Hotels & Resorts (India) Ltd.,ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LTD.,Active,B,2.0,INE199C01026,Hotels & Resorts,392.63
523277,"G.V. Films  Ltd.,",GVFILM,GV FILMS LTD.,Active,X,1.0,INE395B01048,Film Production- Distribution & Exhibition,37.5
523283,Superhouse limited,SUPERHOUSE,SUPERHOUSE LTD.,Active,B,10.0,INE712B01010,Leather And Leather Products,219.12
